timestamp,message,logStreamName
1698139825824,npm notice ,wp/lambdaorm/239fcb49621f49f78c99089d82310742
1698139927083,> orm-service@0.7.18 start,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139927083,> node index.js,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928784,2023-10-24T09:32:08.783Z ERROR: Schema: /workspace not supported,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,node:events:495,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,      throw er; // Unhandled 'error' event,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,      ^,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,Error: listen EACCES: permission denied 0.0.0.0:80,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at Server.setupListenHandle [as _listen2] (node:net:1800:21),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at listenInCluster (node:net:1865:12),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at Server.listen (node:net:1953:7),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at Server.<anonymous> (/usr/src/app/infrastructure/server.js:73:65),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at Generator.next (<anonymous>),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at fulfilled (/usr/src/app/infrastructure/server.js:5:58),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,Emitted 'error' event on Server instance at:,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at emitErrorNT (node:net:1844:8),wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,    at process.processTicksAndRejections (node:internal/process/task_queues:82:21) {,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,"  code: 'EACCES',",wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,"  errno: -13,",wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,"  syscall: 'listen',",wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,"  address: '0.0.0.0',",wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,  port: 80,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,},wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928930,Node.js v18.18.2,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928963,npm notice ,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928964,npm notice New major version of npm available! 9.8.1 -> 10.2.1,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928964,npm notice Changelog: <https://github.com/npm/cli/releases/tag/v10.2.1>,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928965,npm notice Run `npm install -g npm@10.2.1` to update!,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698139928965,npm notice ,wp/lambdaorm/79fc300330844135aea6368c1cd84f2b
1698140241371,> orm-service@0.7.18 start,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140241371,> node index.js,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140242884,2023-10-24T09:37:22.880Z ERROR: Schema: /workspace not supported,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140243050,node:events:495,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140243050,      throw er; // Unhandled 'error' event,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140243050,      ^,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
1698140243050,Error: listen EACCES: permission denied 0.0.0.0:80,wp/lambdaorm/565bbb7d317d4b6480f27a6edb473d43
